culture;conduite;variete_n;action;semaine_debut;semaine_fin;mois_debut;mois_fin;commentaire
Betterave botte;PC;4;Conservation;35;46;août;novembre;Variétés précoces, de saison et tardives
Betterave botte;PC;5;Semis direct;18;20;avril;mai;Variétés précoces, de saison et tardives
Betterave botte;PC;5;Plantation;20;22;mai;mai;Variétés précoces, de saison et tardives
Betterave botte;PC;5;Récolte;30;36;juillet;septembre;Variétés précoces, de saison et tardives
Betterave botte;PC;5;Conservation;38;48;septembre;novembre;Variétés précoces, de saison et tardives
Betterave botte;PC;6;Semis direct;20;22;mai;mai;Variétés précoces, de saison et tardives
Betterave botte;PC;6;Plantation;22;24;mai;juin;Variétés précoces, de saison et tardives
Betterave botte;PC;6;Récolte;32;38;août;septembre;Variétés précoces, de saison et tardives
Betterave botte;PC;6;Conservation;40;50;octobre;décembre;Variétés précoces, de saison et tardives
Betterave botte;SA;1;Plantation;1;2;janvier;janvier;Variétés précoces résistantes à la montaison
Betterave botte;SA;1;Récolte;16;20;avril;mai;Variétés précoces résistantes à la montaison
Betterave botte;SA;1;Semis en pot/plant;47;49;novembre;décembre;Variétés précoces résistantes à la montaison
Betterave botte;SA;2;Semis en pot/plant;1;2;janvier;janvier;Variétés précoces
Betterave botte;SA;2;Plantation;5;7;janvier;février;Variétés précoces
Betterave botte;SA;2;Récolte;17;21;avril;mai;Variétés précoces
Betterave botte;SA;3;Semis en pot/plant;2;4;janvier;janvier;Variétés précoces
Betterave botte;SA;3;Plantation;7;9;février;février;Variétés précoces
Betterave botte;SA;3;Récolte;18;22;avril;mai;Variétés précoces
Betterave botte;SA;4;Semis en pot/plant;5;7;janvier;février;Variétés précoces
Betterave botte;SA;4;Plantation;9;11;février;mars;Variétés précoces
Betterave botte;SA;4;Récolte;20;24;mai;juin;Variétés précoces
Betterave botte;SA;5;Semis en pot/plant;8;10;février;mars;Variétés précoces
Betterave botte;SA;5;Plantation;11;13;mars;mars;Variétés précoces
Betterave botte;SA;5;Récolte;21;25;mai;juin;Variétés précoces
Betterave de conservation;PC;1;Conservation;1;13;janvier;mars;Variétés précoces 100-110 jours
Betterave de conservation;PC;1;Semis direct;20;22;mai;mai;Variétés précoces 100-110 jours
Betterave de conservation;PC;1;Récolte;35;38;août;septembre;Variétés précoces 100-110 jours
Betterave de conservation;PC;1;Conservation;40;52;octobre;décembre;Variétés précoces 100-110 jours
Betterave de conservation;PC;2;Conservation;1;13;janvier;mars;Variétés de saison 110-120 jours
Betterave de conservation;PC;2;Semis direct;20;22;mai;mai;Variétés de saison 110-120 jours
Betterave de conservation;PC;2;Récolte;36;39;septembre;septembre;Variétés de saison 110-120 jours
Betterave de conservation;PC;2;Conservation;41;52;octobre;décembre;Variétés de saison 110-120 jours
Betterave de conservation;PC;3;Conservation;1;13;janvier;mars;Variétés de saison 120-150 jours
Betterave de conservation;PC;3;Semis direct;20;22;mai;mai;Variétés de saison 120-150 jours
Betterave de conservation;PC;3;Récolte;38;41;septembre;octobre;Variétés de saison 120-150 jours
Betterave de conservation;PC;3;Conservation;43;52;octobre;décembre;Variétés de saison 120-150 jours
Betterave de conservation;PC;4;Conservation;1;13;janvier;mars;Variétés précoces 100-110 jours
Betterave de conservation;PC;4;Semis direct;22;24;mai;juin;Variétés précoces 100-110 jours
Betterave de conservation;PC;4;Récolte;37;40;septembre;octobre;Variétés précoces 100-110 jours
Betterave de conservation;PC;4;Conservation;42;52;octobre;décembre;Variétés précoces 100-110 jours
Betterave de conservation;PC;5;Conservation;1;13;janvier;mars;Variétés de saison 110-120 jours
Betterave de conservation;PC;5;Semis direct;22;24;mai;juin;Variétés de saison 110-120 jours
Betterave de conservation;PC;5;Récolte;38;41;septembre;octobre;Variétés de saison 110-120 jours
Betterave de conservation;PC;5;Conservation;43;52;octobre;décembre;Variétés de saison 110-120 jours
Betterave de conservation;PC;6;Conservation;1;13;janvier;mars;Variétés de saison 120-150 jours
Betterave de conservation;PC;6;Semis direct;22;24;mai;juin;Variétés de saison 120-150 jours
Betterave de conservation;PC;6;Récolte;40;43;octobre;octobre;Variétés de saison 120-150 jours
Betterave de conservation;PC;6;Conservation;45;52;novembre;décembre;Variétés de saison 120-150 jours
Betterave de conservation;PC;7;Conservation;1;13;janvier;mars;Variétés précoces 100-110 jours
Betterave de conservation;PC;7;Semis direct;24;26;juin;juin;Variétés précoces 100-110 jours
Betterave de conservation;PC;7;Récolte;39;42;septembre;octobre;Variétés précoces 100-110 jours
Betterave de conservation;PC;7;Conservation;44;52;octobre;décembre;Variétés précoces 100-110 jours
Betterave de conservation;PC;8;Conservation;1;13;janvier;mars;Variétés de saison 110-120 jours
Betterave de conservation;PC;8;Semis direct;24;26;juin;juin;Variétés de saison 110-120 jours
Betterave de conservation;PC;8;Récolte;40;43;octobre;octobre;Variétés de saison 110-120 jours
Betterave de conservation;PC;8;Conservation;45;52;novembre;décembre;Variétés de saison 110-120 jours
Betterave de conservation;PC;9;Conservation;1;13;janvier;mars;Variétés précoces 100-110 jours
Betterave de conservation;PC;9;Semis direct;26;28;juin;juillet;Variétés précoces 100-110 jours
Betterave de conservation;PC;9;Récolte;41;44;octobre;octobre;Variétés précoces 100-110 jours
Betterave de conservation;PC;9;Conservation;46;52;novembre;décembre;Variétés précoces 100-110 jours
Blette;PC;1;Semis en pot/plant;11;13;mars;mars;Variétés compactes, à feuilles, ou cardes
Blette;PC;1;Plantation;15;17;avril;avril;Variétés compactes, à feuilles, ou cardes
Blette;PC;1;Récolte;24;35;juin;août;Variétés compactes, à feuilles, ou cardes
Blette;PC;2;Semis en pot/plant;14;16;avril;avril;Variétés compactes, à feuilles, ou cardes
Blette;PC;2;Plantation;17;19;avril;mai;Variétés compactes, à feuilles, ou cardes
Blette;PC;2;Récolte;26;37;juin;septembre;Variétés compactes, à feuilles, ou cardes
Blette;PC;3;Semis en pot/plant;19;21;mai;mai;Variétés compactes, à feuilles, ou cardes
Blette;PC;3;Plantation;22;24;mai;juin;Variétés compactes, à feuilles, ou cardes
Blette;PC;3;Récolte;31;39;juillet;septembre;Variétés compactes, à feuilles, ou cardes
Blette;PC;4;Semis en pot/plant;23;25;juin;juin;Variétés compactes, à feuilles, ou cardes
Blette;PC;4;Plantation;26;28;juin;juillet;Variétés compactes, à feuilles, ou cardes
Blette;PC;4;Récolte;35;42;août;octobre;Variétés compactes, à feuilles, ou cardes
Blette;PC;5;Semis en pot/plant;27;29;juillet;juillet;Variétés compactes, à feuilles, ou cardes
Blette;PC;5;Plantation;30;32;juillet;août;Variétés compactes, à feuilles, ou cardes
Blette;PC;5;Récolte;39;44;septembre;octobre;Variétés compactes, à feuilles, ou cardes
Blette;SA;1;Récolte;1;15;janvier;avril;Variétés à cardes
Blette;SA;1;Semis en pot/plant;32;34;août;août;Variétés à cardes
Blette;SA;1;Plantation;35;37;août;septembre;Variétés à cardes
Blette;SA;1;Récolte;46;52;novembre;décembre;Variétés à cardes
Blette;SA;2;Semis en pot/plant;5;7;janvier;février;Variétés compactes, à feuilles, ou cardes
Blette;SA;2;Plantation;9;11;février;mars;Variétés compactes, à feuilles, ou cardes
Blette;SA;2;Récolte;20;26;mai;juin;Variétés compactes, à feuilles, ou cardes
Carotte botte;PC;1;Semis direct;9;11;février;mars;Variétés précoces 90-105 jours
Carotte botte;PC;1;Récolte;26;30;juin;juillet;Variétés précoces 90-105 jours
Carotte botte;PC;2;Semis direct;11;13;mars;mars;Variétés précoces et de saison 90-120 jours
Carotte botte;PC;2;Récolte;27;31;juillet;juillet;Variétés précoces et de saison 90-120 jours
Carotte botte;PC;3;Semis direct;13;15;mars;avril;Variétés précoces et de saison 90-120 jours
Carotte botte;PC;3;Récolte;28;32;juillet;août;Variétés précoces et de saison 90-120 jours
Carotte botte;PC;4;Semis direct;15;17;avril;avril;Variétés précoces et de saison 90-120 jours
Carotte botte;PC;4;Récolte;30;34;juillet;août;Variétés précoces et de saison 90-120 jours
Carotte botte;PC;5;Semis direct;17;19;avril;mai;Variétés précoces et de saison 90-120 jours
Carotte botte;PC;5;Récolte;32;36;août;septembre;Variétés précoces et de saison 90-120 jours
Carotte botte;PC;6;Semis direct;19;22;mai;mai;Variétés précoces et de saison 90-120 jours
Carotte botte;PC;6;Récolte;33;38;août;septembre;Variétés précoces et de saison 90-120 jours
Carotte botte;SA;1;Récolte;17;22;avril;mai;Variétés précoces résistantes à la montaison
Carotte botte;SA;1;Semis direct;42;46;octobre;novembre;Variétés précoces résistantes à la montaison
Carotte botte;SA;2;Semis direct;1;3;janvier;janvier;Variétés précoces 90-105 jours
Carotte botte;SA;2;Récolte;19;24;mai;juin;Variétés précoces 90-105 jours
Carotte botte;SA;3;Semis direct;3;5;janvier;janvier;Variétés précoces 90-105 jours
Carotte botte;SA;3;Récolte;20;25;mai;juin;Variétés précoces 90-105 jours
Carotte botte;SA;4;Semis direct;5;7;janvier;février;Variétés précoces 90-105 jours
Carotte botte;SA;4;Récolte;22;27;mai;juillet;Variétés précoces 90-105 jours
Carotte botte;SA;5;Semis direct;7;9;février;février;Variétés précoces 90-105 jours
Carotte botte;SA;5;Récolte;24;28;juin;juillet;Variétés précoces 90-105 jours
Carotte de conservation;PC;1;Conservation;1;13;janvier;mars;Variétés tardives 120-150 jours
Carotte de conservation;PC;1;Semis direct;19;22;mai;mai;Variétés tardives 120-150 jours
Carotte de conservation;PC;1;Récolte;36;41;septembre;octobre;Variétés tardives 120-150 jours
Carotte de conservation;PC;1;Conservation;43;52;octobre;décembre;Variétés tardives 120-150 jours
Carotte de conservation;PC;2;Conservation;1;13;janvier;mars;Variétés précoces et de saison 90-120 jours
Carotte de conservation;PC;2;Semis direct;22;24;mai;juin;Variétés précoces et de saison 90-120 jours
Carotte de conservation;PC;2;Récolte;36;41;septembre;octobre;Variétés précoces et de saison 90-120 jours
Carotte de conservation;PC;2;Conservation;43;52;octobre;décembre;Variétés précoces et de saison 90-120 jours
Carotte de conservation;PC;3;Conservation;1;15;janvier;avril;Variétés tardives 120-150 jours
Carotte de conservation;PC;3;Semis direct;22;24;mai;juin;Variétés tardives 120-150 jours
Carotte de conservation;PC;3;Récolte;39;44;septembre;octobre;Variétés tardives 120-150 jours
Carotte de conservation;PC;3;Conservation;46;52;novembre;décembre;Variétés tardives 120-150 jours
Carotte de conservation;PC;4;Conservation;1;15;janvier;avril;Variétés précoces et de saison 90-120 jours
Carotte de conservation;PC;4;Semis direct;24;26;juin;juin;Variétés précoces et de saison 90-120 jours
Carotte de conservation;PC;4;Récolte;39;44;septembre;octobre;Variétés précoces et de saison 90-120 jours
Carotte de conservation;PC;4;Conservation;46;52;novembre;décembre;Variétés précoces et de saison 90-120 jours
Carotte de conservation;PC;5;Conservation;1;17;janvier;avril;Variétés tardives 120-150 jours
Carotte de conservation;PC;5;Semis direct;24;26;juin;juin;Variétés tardives 120-150 jours
Carotte de conservation;PC;5;Récolte;43;48;octobre;novembre;Variétés tardives 120-150 jours
Carotte de conservation;PC;5;Conservation;50;52;décembre;décembre;Variétés tardives 120-150 jours
Carotte de conservation;PC;6;Conservation;1;17;janvier;avril;Variétés précoces 90-105 jours
Carotte de conservation;PC;6;Semis direct;26;28;juin;juillet;Variétés précoces 90-105 jours
Carotte de conservation;PC;6;Récolte;43;48;octobre;novembre;Variétés précoces 90-105 jours
Carotte de conservation;PC;6;Conservation;50;52;décembre;décembre;Variétés précoces 90-105 jours
Chicorée chioggia;PC;1;Récolte;1;3;janvier;janvier;Variétés tardives 130- 150 jours
Chicorée chioggia;PC;1;Conservation;5;13;janvier;mars;Variétés tardives 130- 150 jours
Chicorée chioggia;PC;1;Semis en pot/plant;27;29;juillet;juillet;Variétés tardives 130- 150 jours
Chicorée chioggia;PC;1;Plantation;30;32;juillet;août;Variétés tardives 130- 150 jours
Chicorée chioggia;PC;1;Récolte;50;52;décembre;décembre;Variétés tardives 130- 150 jours
Chicorée pain de sucre;PC;1;Conservation;1;9;janvier;février;Variétés de saison 80-90 jours
Chicorée pain de sucre;PC;1;Semis en pot/plant;27;29;juillet;juillet;Variétés de saison 80-90 jours
Chicorée pain de sucre;PC;1;Plantation;30;32;juillet;août;Variétés de saison 80-90 jours
Chicorée pain de sucre;PC;1;Récolte;44;48;octobre;novembre;Variétés de saison 80-90 jours
Chicorée pain de sucre;PC;1;Conservation;49;52;décembre;décembre;Variétés de saison 80-90 jours
Chicorée scarole & frisée;PC;1;Semis en pot/plant;2;4;janvier;janvier;Variétés résistantes à la montaison
Chicorée scarole & frisée;PC;1;Plantation;7;9;février;février;Variétés résistantes à la montaison
Chicorée scarole & frisée;PC;1;Récolte;19;22;mai;mai;Variétés résistantes à la montaison
Chicorée scarole & frisée;PC;2;Semis en pot/plant;4;6;janvier;février;Variétés résistantes à la montaison
Chicorée scarole & frisée;PC;2;Plantation;9;11;février;mars;Variétés résistantes à la montaison
Chicorée scarole & frisée;PC;2;Récolte;20;23;mai;juin;Variétés résistantes à la montaison
Chicorée scarole & frisée;PC;3;Semis en pot/plant;6;8;février;février;Variétés résistantes à la montaison
Chicorée scarole & frisée;PC;3;Plantation;11;13;mars;mars;Variétés résistantes à la montaison
Chicorée scarole & frisée;PC;3;Récolte;22;24;mai;juin;Variétés résistantes à la montaison
Chicorée scarole & frisée;PC;4;Semis en pot/plant;28;30;juillet;juillet;
Chicorée scarole & frisée;PC;4;Plantation;31;33;juillet;août;
Chicorée scarole & frisée;PC;4;Récolte;43;47;octobre;novembre;
Chicorée scarole & frisée;PC;5;Semis en pot/plant;30;32;juillet;août;
Chicorée scarole & frisée;PC;5;Plantation;33;35;août;août;
Chicorée scarole & frisée;PC;5;Récolte;47;49;novembre;décembre;
Chicorée scarole & frisée;SA;1;Récolte;1;5;janvier;janvier;
Chicorée scarole & frisée;SA;1;Semis en pot/plant;34;36;août;septembre;
Chicorée scarole & frisée;SA;1;Plantation;37;39;septembre;septembre;
Chicorée scarole & frisée;SA;1;Récolte;50;52;décembre;décembre;
Chicorée scarole & frisée;SA;2;Récolte;4;9;janvier;février;
Chicorée scarole & frisée;SA;2;Semis en pot/plant;35;37;août;septembre;
Chicorée scarole & frisée;SA;2;Plantation;39;41;septembre;octobre;
Chicorée scarole & frisée;SA;3;Récolte;8;11;février;mars;
Chicorée scarole & frisée;SA;3;Semis en pot/plant;37;39;septembre;septembre;
Chicorée scarole & frisée;SA;3;Plantation;41;43;octobre;octobre;
Chicorée scarole & frisée;SA;4;Récolte;11;14;mars;avril;
Chicorée scarole & frisée;SA;4;Semis en pot/plant;39;41;septembre;octobre;
Chicorée scarole & frisée;SA;4;Plantation;43;45;octobre;novembre;
Chicorée scarole & frisée;SA;5;Plantation;1;1;janvier;janvier;Variétés résistantes à la montaison
Chicorée scarole & frisée;SA;5;Récolte;13;16;mars;avril;Variétés résistantes à la montaison
Chicorée scarole & frisée;SA;5;Semis en pot/plant;47;49;novembre;décembre;Variétés résistantes à la montaison
Chicorée scarole & frisée;SA;5;Plantation;51;52;décembre;décembre;Variétés résistantes à la montaison
Chicorée scarole & frisée;SA;6;Plantation;1;3;janvier;janvier;Variétés résistantes à la montaison
Chicorée scarole & frisée;SA;6;Récolte;15;18;avril;avril;Variétés résistantes à la montaison
Chicorée scarole & frisée;SA;6;Semis en pot/plant;47;49;novembre;décembre;Variétés résistantes à la montaison
Chicorée scarole & frisée;SA;7;Plantation;3;5;janvier;janvier;Variétés résistantes à la montaison
Chicorée scarole & frisée;SA;7;Récolte;16;19;avril;mai;Variétés résistantes à la montaison
Chicorée scarole & frisée;SA;7;Semis en pot/plant;49;51;décembre;décembre;Variétés résistantes à la montaison
Chicorée scarole & frisée;SA;8;Semis en pot/plant;1;1;janvier;janvier;Variétés résistantes à la montaison
Chicorée scarole & frisée;SA;8;Plantation;5;7;janvier;février;Variétés résistantes à la montaison
Chicorée scarole & frisée;SA;8;Récolte;17;20;avril;mai;Variétés résistantes à la montaison
Chicorée scarole & frisée;SA;8;Semis en pot/plant;51;52;décembre;décembre;Variétés résistantes à la montaison
Chicorée scarole & frisée;SA;9;Semis en pot/plant;2;4;janvier;janvier;Variétés résistantes à la montaison
Chicorée scarole & frisée;SA;9;Plantation;7;9;février;février;Variétés résistantes à la montaison
Chicorée scarole & frisée;SA;9;Récolte;18;21;avril;mai;Variétés résistantes à la montaison
Chicorée trévise;PC;1;Semis en pot/plant;27;29;juillet;juillet;Variétés précoces 70-90 jours
Chicorée trévise;PC;1;Plantation;30;32;juillet;août;Variétés précoces 70-90 jours
Chicorée trévise;PC;1;Récolte;41;44;octobre;octobre;Variétés précoces 70-90 jours
Chicorée trévise;PC;2;Semis en pot/plant;29;31;juillet;juillet;Variétés précoces 70-90 jours
Chicorée trévise;PC;2;Plantation;32;34;août;août;Variétés précoces 70-90 jours
Chicorée trévise;PC;2;Récolte;44;47;octobre;novembre;Variétés précoces 70-90 jours
Chou brocoli;PC;1;Semis en pot/plant;2;4;janvier;janvier;
Chou brocoli;PC;1;Plantation;9;11;février;mars;
Chou brocoli;PC;1;Récolte;23;25;juin;juin;
Chou brocoli;PC;2;Semis en pot/plant;6;8;février;février;Risque élevé de mauvaise pommaison
Chou brocoli;PC;2;Plantation;13;15;mars;avril;Risque élevé de mauvaise pommaison
Chou brocoli;PC;2;Récolte;26;28;juin;juillet;Risque élevé de mauvaise pommaison
Chou brocoli;PC;3;Semis en pot/plant;11;13;mars;mars;Risque élevé de mauvaise pommaison
Chou brocoli;PC;3;Plantation;17;19;avril;mai;Risque élevé de mauvaise pommaison
Chou brocoli;PC;3;Récolte;29;31;juillet;juillet;Risque élevé de mauvaise pommaison
Chou brocoli;PC;4;Semis en pot/plant;17;19;avril;mai;Risque élevé de mauvaise pommaison
Chou brocoli;PC;4;Plantation;22;24;mai;juin;Risque élevé de mauvaise pommaison
Chou brocoli;PC;4;Récolte;34;36;août;septembre;Risque élevé de mauvaise pommaison
Chou brocoli;PC;5;Semis en pot/plant;21;23;mai;juin;
Chou brocoli;PC;5;Plantation;26;28;juin;juillet;
Chou brocoli;PC;5;Récolte;38;41;septembre;octobre;
Chou brocoli;PC;6;Semis en pot/plant;23;25;juin;juin;
Chou brocoli;PC;6;Plantation;28;30;juillet;juillet;
Chou brocoli;PC;6;Récolte;41;45;octobre;novembre;
Chou brocoli;PC;7;Semis en pot/plant;25;27;juin;juillet;Attention aux gelées précoces
Chou brocoli;PC;7;Plantation;30;32;juillet;août;Attention aux gelées précoces
Chou brocoli;PC;7;Récolte;43;47;octobre;novembre;Attention aux gelées précoces
Chou brocoli;SA;1;Plantation;5;7;janvier;février;Semis en alvéoles
Chou brocoli;SA;1;Récolte;17;19;avril;mai;Semis en alvéoles
Chou brocoli;SA;1;Semis en pot/plant;49;51;décembre;décembre;Semis en alvéoles
Chou brocoli;SA;2;Plantation;9;11;février;mars;Variétés de 60-80 jours après plantation
Chou brocoli;SA;2;Récolte;20;22;mai;mai;Variétés de 60-80 jours après plantation
Chou cabus;PC;1;Semis en pot/plant;2;4;janvier;janvier;Variétés de 75-90 jours après plantation
Chou cabus;PC;1;Plantation;9;11;février;mars;Variétés de 75-90 jours après plantation
Chou cabus;PC;1;Récolte;25;27;juin;juillet;Variétés de 75-90 jours après plantation
Chou cabus;PC;2;Semis en pot/plant;6;8;février;février;Variétés de 75-90 jours après plantation
Chou cabus;PC;2;Plantation;13;15;mars;avril;Variétés de 75-90 jours après plantation
Chou cabus;PC;2;Récolte;28;30;juillet;juillet;Variétés de 75-90 jours après plantation
Chou cabus;PC;3;Semis en pot/plant;15;17;avril;avril;Variétés de 75-90 jours après plantation. Risque élevé d'éclatement
Chou cabus;PC;3;Plantation;20;22;mai;mai;Variétés de 75-90 jours après plantation. Risque élevé d'éclatement
Chou cabus;PC;3;Récolte;35;39;août;septembre;Variétés de 75-90 jours après plantation. Risque élevé d'éclatement
Chou cabus;PC;3;Conservation;41;45;octobre;novembre;Variétés de 75-90 jours après plantation. Risque élevé d'éclatement
Chou cabus;PC;4;Semis en pot/plant;15;17;avril;avril;Variétés de 90-105 jours après plantation. Risque élevé d'éclatement
Chou cabus;PC;4;Plantation;20;22;mai;mai;Variétés de 90-105 jours après plantation. Risque élevé d'éclatement
Chou cabus;PC;4;Récolte;37;41;septembre;octobre;Variétés de 90-105 jours après plantation. Risque élevé d'éclatement
Chou cabus;PC;4;Conservation;43;48;octobre;novembre;Variétés de 90-105 jours après plantation. Risque élevé d'éclatement
Chou cabus;PC;5;Conservation;1;5;janvier;janvier;Variétés de 105-120 jours après plantation
Chou cabus;PC;5;Semis en pot/plant;15;17;avril;avril;Variétés de 105-120 jours après plantation
Chou cabus;PC;5;Plantation;20;22;mai;mai;Variétés de 105-120 jours après plantation
Chou cabus;PC;5;Récolte;40;44;octobre;octobre;Variétés de 105-120 jours après plantation
Chou cabus;PC;5;Conservation;46;52;novembre;décembre;Variétés de 105-120 jours après plantation
Chou cabus;PC;6;Conservation;1;9;janvier;février;Variétés de 120-135 jours après plantation
Chou cabus;PC;6;Semis en pot/plant;15;17;avril;avril;Variétés de 120-135 jours après plantation
Chou cabus;PC;6;Plantation;20;22;mai;mai;Variétés de 120-135 jours après plantation
Chou cabus;PC;6;Récolte;42;46;octobre;novembre;Variétés de 120-135 jours après plantation
Chou cabus;PC;6;Conservation;48;52;novembre;décembre;Variétés de 120-135 jours après plantation
Chou cabus;PC;7;Conservation;1;15;janvier;avril;Variétés de 135-150 jours après plantation
Chou cabus;PC;7;Semis en pot/plant;15;17;avril;avril;Variétés de 135-150 jours après plantation
Chou cabus;PC;7;Plantation;20;22;mai;mai;Variétés de 135-150 jours après plantation
Chou cabus;PC;7;Récolte;44;48;octobre;novembre;Variétés de 135-150 jours après plantation
Chou cabus;PC;7;Conservation;50;52;décembre;décembre;Variétés de 135-150 jours après plantation
Chou cabus;PC;8;Conservation;1;9;janvier;février;Variétés de 105-120 jours après plantation
