culture;conduite;variete_n;action;semaine_debut;semaine_fin;mois_debut;mois_fin;commentaire
Aubergine;SA;2;Semis en pot/plant;5;7;janvier;février;
Aubergine;SA;2;Travail du sol;14;14;avril;avril;Ameublir, décompacter et affiner la planche avant plantation.
Aubergine;SA;2;Apport de fumier;14;14;avril;avril;Fumier ou compost riche (culture gourmande en azote), sur la planche fraîchement travaillée.
Aubergine;SA;2;Paillage;14;14;avril;avril;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Aubergine;SA;2;Plantation;15;17;avril;avril;
Aubergine;SA;2;Récolte;26;42;juin;octobre;
Aubergine;SA;3;Semis en pot/plant;7;9;février;février;
Aubergine;SA;3;Travail du sol;16;16;avril;avril;Ameublir, décompacter et affiner la planche avant plantation.
Aubergine;SA;3;Apport de fumier;16;16;avril;avril;Fumier ou compost riche (culture gourmande en azote), sur la planche fraîchement travaillée.
Aubergine;SA;3;Paillage;16;16;avril;avril;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Aubergine;SA;3;Plantation;17;19;avril;mai;
Aubergine;SA;3;Récolte;28;42;juillet;octobre;
Basilic;SA;1;Semis en pot/plant;11;13;mars;mars;Variétés de vigueurs différentes pour étaler les récoltes
Basilic;SA;1;Travail du sol;14;14;avril;avril;Ameublir, décompacter et affiner la planche avant plantation.
Basilic;SA;1;Apport de compost;14;14;avril;avril;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Basilic;SA;1;Paillage;14;14;avril;avril;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Basilic;SA;1;Plantation;15;17;avril;avril;Variétés de vigueurs différentes pour étaler les récoltes
Basilic;SA;1;Récolte;22;24;mai;juin;Variétés de vigueurs différentes pour étaler les récoltes
Basilic;SA;1;Récolte;26;28;juin;juillet;Variétés de vigueurs différentes pour étaler les récoltes
Basilic;SA;1;Récolte;30;32;juillet;août;Variétés de vigueurs différentes pour étaler les récoltes
Basilic;SA;2;Semis en pot/plant;13;15;mars;avril;Récolter ou tailler toutes les 4 semaines pour avoir plusieurs récoltes
Basilic;SA;2;Travail du sol;16;16;avril;avril;Ameublir, décompacter et affiner la planche avant plantation.
Basilic;SA;2;Apport de compost;16;16;avril;avril;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Basilic;SA;2;Paillage;16;16;avril;avril;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Basilic;SA;2;Plantation;17;19;avril;mai;Récolter ou tailler toutes les 4 semaines pour avoir plusieurs récoltes
Basilic;SA;2;Récolte;24;26;juin;juin;Récolter ou tailler toutes les 4 semaines pour avoir plusieurs récoltes
Basilic;SA;2;Récolte;28;30;juillet;juillet;Récolter ou tailler toutes les 4 semaines pour avoir plusieurs récoltes
Basilic;SA;2;Récolte;32;34;août;août;Récolter ou tailler toutes les 4 semaines pour avoir plusieurs récoltes
Basilic;SA;3;Semis en pot/plant;17;19;avril;mai;
Basilic;SA;3;Travail du sol;19;19;mai;mai;Ameublir, décompacter et affiner la planche avant plantation.
Basilic;SA;3;Apport de compost;19;19;mai;mai;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Basilic;SA;3;Paillage;19;19;mai;mai;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Basilic;SA;3;Plantation;20;22;mai;mai;
Basilic;SA;3;Récolte;26;28;juin;juillet;
Basilic;SA;3;Récolte;30;32;juillet;août;
Basilic;SA;3;Récolte;34;36;août;septembre;
Basilic;SA;4;Semis en pot/plant;19;21;mai;mai;
Basilic;SA;4;Travail du sol;21;21;mai;mai;Ameublir, décompacter et affiner la planche avant plantation.
Basilic;SA;4;Apport de compost;21;21;mai;mai;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Basilic;SA;4;Paillage;21;21;mai;mai;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Basilic;SA;4;Plantation;22;24;mai;juin;
Basilic;SA;4;Récolte;28;30;juillet;juillet;
Basilic;SA;4;Récolte;32;34;août;août;
Basilic;SA;4;Récolte;36;38;septembre;septembre;
Basilic;SA;5;Semis en pot/plant;21;23;mai;juin;
Basilic;SA;5;Travail du sol;23;23;juin;juin;Ameublir, décompacter et affiner la planche avant plantation.
Basilic;SA;5;Apport de compost;23;23;juin;juin;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Basilic;SA;5;Paillage;23;23;juin;juin;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Basilic;SA;5;Plantation;24;26;juin;juin;
Basilic;SA;5;Récolte;30;32;juillet;août;
Basilic;SA;5;Récolte;34;36;août;septembre;
Basilic;SA;5;Récolte;38;40;septembre;octobre;
Basilic;SA;6;Semis en pot/plant;23;25;juin;juin;
Basilic;SA;6;Travail du sol;25;25;juin;juin;Ameublir, décompacter et affiner la planche avant plantation.
Basilic;SA;6;Apport de compost;25;25;juin;juin;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Basilic;SA;6;Paillage;25;25;juin;juin;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Basilic;SA;6;Plantation;26;28;juin;juillet;
Basilic;SA;6;Récolte;32;34;août;août;
Basilic;SA;6;Récolte;36;38;septembre;septembre;
Basilic;SA;6;Récolte;40;42;octobre;octobre;
Basilic;SA;7;Semis en pot/plant;25;27;juin;juillet;
Basilic;SA;7;Travail du sol;27;27;juillet;juillet;Ameublir, décompacter et affiner la planche avant plantation.
Basilic;SA;7;Apport de compost;27;27;juillet;juillet;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Basilic;SA;7;Paillage;27;27;juillet;juillet;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Basilic;SA;7;Plantation;28;30;juillet;juillet;
Basilic;SA;7;Récolte;34;36;août;septembre;
Basilic;SA;7;Récolte;38;40;septembre;octobre;
Basilic;SA;7;Récolte;42;44;octobre;octobre;
Betterave botte;PC;1;Semis en pot/plant;8;10;février;mars;Variétés précoces
Betterave botte;PC;1;Travail du sol;10;10;mars;mars;Ameublir, décompacter et affiner la planche avant plantation.
Betterave botte;PC;1;Apport de compost;10;10;mars;mars;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave botte;PC;1;Paillage;10;10;mars;mars;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Betterave botte;PC;1;Plantation;11;13;mars;mars;Variétés précoces
Betterave botte;PC;1;Récolte;22;26;mai;juin;Variétés précoces
Betterave botte;PC;2;Semis en pot/plant;10;12;mars;mars;Variétés précoces
Betterave botte;PC;2;Travail du sol;12;12;mars;mars;Ameublir, décompacter et affiner la planche avant plantation.
Betterave botte;PC;2;Apport de compost;12;12;mars;mars;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave botte;PC;2;Paillage;12;12;mars;mars;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Betterave botte;PC;2;Plantation;13;15;mars;avril;Variétés précoces
Betterave botte;PC;2;Récolte;23;27;juin;juillet;Variétés précoces
Betterave botte;PC;3;Semis en pot/plant;12;14;mars;avril;Variétés précoces, de saison et tardives
Betterave botte;PC;3;Travail du sol;14;14;avril;avril;Ameublir, décompacter et affiner la planche avant plantation.
Betterave botte;PC;3;Apport de compost;14;14;avril;avril;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave botte;PC;3;Paillage;14;14;avril;avril;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Betterave botte;PC;3;Plantation;15;17;avril;avril;Variétés précoces, de saison et tardives
Betterave botte;PC;3;Récolte;25;31;juin;juillet;Variétés précoces, de saison et tardives
Betterave botte;PC;4;Semis en pot/plant;14;16;avril;avril;Variétés précoces, de saison et tardives
Betterave botte;PC;4;Travail du sol;16;16;avril;avril;Ameublir, décompacter et affiner la planche avant plantation.
Betterave botte;PC;4;Apport de compost;16;16;avril;avril;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave botte;PC;4;Paillage;16;16;avril;avril;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Betterave botte;PC;4;Plantation;17;19;avril;mai;Variétés précoces, de saison et tardives
Betterave botte;PC;4;Récolte;27;33;juillet;août;Variétés précoces, de saison et tardives
Betterave botte;PC;4;Conservation;35;46;août;novembre;Variétés précoces, de saison et tardives
Betterave botte;PC;5;Travail du sol;17;17;avril;avril;Ameublir, décompacter et affiner la planche avant semis direct.
Betterave botte;PC;5;Apport de compost;17;17;avril;avril;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave botte;PC;5;Semis direct;18;20;avril;mai;Variétés précoces, de saison et tardives
Betterave botte;PC;5;Travail du sol;19;19;mai;mai;Ameublir, décompacter et affiner la planche avant plantation.
Betterave botte;PC;5;Apport de compost;19;19;mai;mai;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave botte;PC;5;Paillage;19;19;mai;mai;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Betterave botte;PC;5;Plantation;20;22;mai;mai;Variétés précoces, de saison et tardives
Betterave botte;PC;5;Récolte;30;36;juillet;septembre;Variétés précoces, de saison et tardives
Betterave botte;PC;5;Conservation;38;48;septembre;novembre;Variétés précoces, de saison et tardives
Betterave botte;PC;6;Travail du sol;19;19;mai;mai;Ameublir, décompacter et affiner la planche avant semis direct.
Betterave botte;PC;6;Apport de compost;19;19;mai;mai;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave botte;PC;6;Semis direct;20;22;mai;mai;Variétés précoces, de saison et tardives
Betterave botte;PC;6;Travail du sol;21;21;mai;mai;Ameublir, décompacter et affiner la planche avant plantation.
Betterave botte;PC;6;Apport de compost;21;21;mai;mai;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave botte;PC;6;Paillage;21;21;mai;mai;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Betterave botte;PC;6;Plantation;22;24;mai;juin;Variétés précoces, de saison et tardives
Betterave botte;PC;6;Récolte;32;38;août;septembre;Variétés précoces, de saison et tardives
Betterave botte;PC;6;Conservation;40;50;octobre;décembre;Variétés précoces, de saison et tardives
Betterave botte;SA;1;Plantation;1;2;janvier;janvier;Variétés précoces résistantes à la montaison
Betterave botte;SA;1;Travail du sol;1;1;janvier;janvier;Ameublir, décompacter et affiner la planche avant plantation.
Betterave botte;SA;1;Apport de compost;1;1;janvier;janvier;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave botte;SA;1;Paillage;1;1;janvier;janvier;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Betterave botte;SA;1;Récolte;16;20;avril;mai;Variétés précoces résistantes à la montaison
Betterave botte;SA;1;Semis en pot/plant;47;49;novembre;décembre;Variétés précoces résistantes à la montaison
Betterave botte;SA;2;Semis en pot/plant;1;2;janvier;janvier;Variétés précoces
Betterave botte;SA;2;Travail du sol;4;4;janvier;janvier;Ameublir, décompacter et affiner la planche avant plantation.
Betterave botte;SA;2;Apport de compost;4;4;janvier;janvier;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave botte;SA;2;Paillage;4;4;janvier;janvier;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Betterave botte;SA;2;Plantation;5;7;janvier;février;Variétés précoces
Betterave botte;SA;2;Récolte;17;21;avril;mai;Variétés précoces
Betterave botte;SA;3;Semis en pot/plant;2;4;janvier;janvier;Variétés précoces
Betterave botte;SA;3;Travail du sol;6;6;février;février;Ameublir, décompacter et affiner la planche avant plantation.
Betterave botte;SA;3;Apport de compost;6;6;février;février;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave botte;SA;3;Paillage;6;6;février;février;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Betterave botte;SA;3;Plantation;7;9;février;février;Variétés précoces
Betterave botte;SA;3;Récolte;18;22;avril;mai;Variétés précoces
Betterave botte;SA;4;Semis en pot/plant;5;7;janvier;février;Variétés précoces
Betterave botte;SA;4;Travail du sol;8;8;février;février;Ameublir, décompacter et affiner la planche avant plantation.
Betterave botte;SA;4;Apport de compost;8;8;février;février;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave botte;SA;4;Paillage;8;8;février;février;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Betterave botte;SA;4;Plantation;9;11;février;mars;Variétés précoces
Betterave botte;SA;4;Récolte;20;24;mai;juin;Variétés précoces
Betterave botte;SA;5;Semis en pot/plant;8;10;février;mars;Variétés précoces
Betterave botte;SA;5;Travail du sol;10;10;mars;mars;Ameublir, décompacter et affiner la planche avant plantation.
Betterave botte;SA;5;Apport de compost;10;10;mars;mars;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave botte;SA;5;Paillage;10;10;mars;mars;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Betterave botte;SA;5;Plantation;11;13;mars;mars;Variétés précoces
Betterave botte;SA;5;Récolte;21;25;mai;juin;Variétés précoces
Betterave de conservation;PC;1;Conservation;1;13;janvier;mars;Variétés précoces 100-110 jours
Betterave de conservation;PC;1;Travail du sol;19;19;mai;mai;Ameublir, décompacter et affiner la planche avant semis direct.
Betterave de conservation;PC;1;Apport de compost;19;19;mai;mai;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave de conservation;PC;1;Semis direct;20;22;mai;mai;Variétés précoces 100-110 jours
Betterave de conservation;PC;1;Récolte;35;38;août;septembre;Variétés précoces 100-110 jours
Betterave de conservation;PC;1;Conservation;40;52;octobre;décembre;Variétés précoces 100-110 jours
Betterave de conservation;PC;2;Conservation;1;13;janvier;mars;Variétés de saison 110-120 jours
Betterave de conservation;PC;2;Travail du sol;19;19;mai;mai;Ameublir, décompacter et affiner la planche avant semis direct.
Betterave de conservation;PC;2;Apport de compost;19;19;mai;mai;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave de conservation;PC;2;Semis direct;20;22;mai;mai;Variétés de saison 110-120 jours
Betterave de conservation;PC;2;Récolte;36;39;septembre;septembre;Variétés de saison 110-120 jours
Betterave de conservation;PC;2;Conservation;41;52;octobre;décembre;Variétés de saison 110-120 jours
Betterave de conservation;PC;3;Conservation;1;13;janvier;mars;Variétés de saison 120-150 jours
Betterave de conservation;PC;3;Travail du sol;19;19;mai;mai;Ameublir, décompacter et affiner la planche avant semis direct.
Betterave de conservation;PC;3;Apport de compost;19;19;mai;mai;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave de conservation;PC;3;Semis direct;20;22;mai;mai;Variétés de saison 120-150 jours
Betterave de conservation;PC;3;Récolte;38;41;septembre;octobre;Variétés de saison 120-150 jours
Betterave de conservation;PC;3;Conservation;43;52;octobre;décembre;Variétés de saison 120-150 jours
Betterave de conservation;PC;4;Conservation;1;13;janvier;mars;Variétés précoces 100-110 jours
Betterave de conservation;PC;4;Travail du sol;21;21;mai;mai;Ameublir, décompacter et affiner la planche avant semis direct.
Betterave de conservation;PC;4;Apport de compost;21;21;mai;mai;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave de conservation;PC;4;Semis direct;22;24;mai;juin;Variétés précoces 100-110 jours
Betterave de conservation;PC;4;Récolte;37;40;septembre;octobre;Variétés précoces 100-110 jours
Betterave de conservation;PC;4;Conservation;42;52;octobre;décembre;Variétés précoces 100-110 jours
Betterave de conservation;PC;5;Conservation;1;13;janvier;mars;Variétés de saison 110-120 jours
Betterave de conservation;PC;5;Travail du sol;21;21;mai;mai;Ameublir, décompacter et affiner la planche avant semis direct.
Betterave de conservation;PC;5;Apport de compost;21;21;mai;mai;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave de conservation;PC;5;Semis direct;22;24;mai;juin;Variétés de saison 110-120 jours
Betterave de conservation;PC;5;Récolte;38;41;septembre;octobre;Variétés de saison 110-120 jours
Betterave de conservation;PC;5;Conservation;43;52;octobre;décembre;Variétés de saison 110-120 jours
Betterave de conservation;PC;6;Conservation;1;13;janvier;mars;Variétés de saison 120-150 jours
Betterave de conservation;PC;6;Travail du sol;21;21;mai;mai;Ameublir, décompacter et affiner la planche avant semis direct.
Betterave de conservation;PC;6;Apport de compost;21;21;mai;mai;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave de conservation;PC;6;Semis direct;22;24;mai;juin;Variétés de saison 120-150 jours
Betterave de conservation;PC;6;Récolte;40;43;octobre;octobre;Variétés de saison 120-150 jours
Betterave de conservation;PC;6;Conservation;45;52;novembre;décembre;Variétés de saison 120-150 jours
Betterave de conservation;PC;7;Conservation;1;13;janvier;mars;Variétés précoces 100-110 jours
Betterave de conservation;PC;7;Travail du sol;23;23;juin;juin;Ameublir, décompacter et affiner la planche avant semis direct.
Betterave de conservation;PC;7;Apport de compost;23;23;juin;juin;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave de conservation;PC;7;Semis direct;24;26;juin;juin;Variétés précoces 100-110 jours
Betterave de conservation;PC;7;Récolte;39;42;septembre;octobre;Variétés précoces 100-110 jours
Betterave de conservation;PC;7;Conservation;44;52;octobre;décembre;Variétés précoces 100-110 jours
Betterave de conservation;PC;8;Conservation;1;13;janvier;mars;Variétés de saison 110-120 jours
Betterave de conservation;PC;8;Travail du sol;23;23;juin;juin;Ameublir, décompacter et affiner la planche avant semis direct.
Betterave de conservation;PC;8;Apport de compost;23;23;juin;juin;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave de conservation;PC;8;Semis direct;24;26;juin;juin;Variétés de saison 110-120 jours
Betterave de conservation;PC;8;Récolte;40;43;octobre;octobre;Variétés de saison 110-120 jours
Betterave de conservation;PC;8;Conservation;45;52;novembre;décembre;Variétés de saison 110-120 jours
Betterave de conservation;PC;9;Conservation;1;13;janvier;mars;Variétés précoces 100-110 jours
Betterave de conservation;PC;9;Travail du sol;25;25;juin;juin;Ameublir, décompacter et affiner la planche avant semis direct.
Betterave de conservation;PC;9;Apport de compost;25;25;juin;juin;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Betterave de conservation;PC;9;Semis direct;26;28;juin;juillet;Variétés précoces 100-110 jours
Betterave de conservation;PC;9;Récolte;41;44;octobre;octobre;Variétés précoces 100-110 jours
Betterave de conservation;PC;9;Conservation;46;52;novembre;décembre;Variétés précoces 100-110 jours
Blette;PC;1;Semis en pot/plant;11;13;mars;mars;Variétés compactes, à feuilles, ou cardes
Blette;PC;1;Travail du sol;14;14;avril;avril;Ameublir, décompacter et affiner la planche avant plantation.
Blette;PC;1;Apport de compost;14;14;avril;avril;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Blette;PC;1;Paillage;14;14;avril;avril;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Blette;PC;1;Plantation;15;17;avril;avril;Variétés compactes, à feuilles, ou cardes
Blette;PC;1;Récolte;24;35;juin;août;Variétés compactes, à feuilles, ou cardes
Blette;PC;2;Semis en pot/plant;14;16;avril;avril;Variétés compactes, à feuilles, ou cardes
Blette;PC;2;Travail du sol;16;16;avril;avril;Ameublir, décompacter et affiner la planche avant plantation.
Blette;PC;2;Apport de compost;16;16;avril;avril;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Blette;PC;2;Paillage;16;16;avril;avril;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Blette;PC;2;Plantation;17;19;avril;mai;Variétés compactes, à feuilles, ou cardes
Blette;PC;2;Récolte;26;37;juin;septembre;Variétés compactes, à feuilles, ou cardes
Blette;PC;3;Semis en pot/plant;19;21;mai;mai;Variétés compactes, à feuilles, ou cardes
Blette;PC;3;Travail du sol;21;21;mai;mai;Ameublir, décompacter et affiner la planche avant plantation.
Blette;PC;3;Apport de compost;21;21;mai;mai;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Blette;PC;3;Paillage;21;21;mai;mai;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Blette;PC;3;Plantation;22;24;mai;juin;Variétés compactes, à feuilles, ou cardes
Blette;PC;3;Récolte;31;39;juillet;septembre;Variétés compactes, à feuilles, ou cardes
Blette;PC;4;Semis en pot/plant;23;25;juin;juin;Variétés compactes, à feuilles, ou cardes
Blette;PC;4;Travail du sol;25;25;juin;juin;Ameublir, décompacter et affiner la planche avant plantation.
Blette;PC;4;Apport de compost;25;25;juin;juin;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Blette;PC;4;Paillage;25;25;juin;juin;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Blette;PC;4;Plantation;26;28;juin;juillet;Variétés compactes, à feuilles, ou cardes
Blette;PC;4;Récolte;35;42;août;octobre;Variétés compactes, à feuilles, ou cardes
Blette;PC;5;Semis en pot/plant;27;29;juillet;juillet;Variétés compactes, à feuilles, ou cardes
Blette;PC;5;Travail du sol;29;29;juillet;juillet;Ameublir, décompacter et affiner la planche avant plantation.
Blette;PC;5;Apport de compost;29;29;juillet;juillet;Compost mûr ou fumier bien décomposé, sur la planche fraîchement travaillée.
Blette;PC;5;Paillage;29;29;juillet;juillet;Paille, BRF ou mulch posé sur la planche préparée, juste avant plantation.
Blette;PC;5;Plantation;30;32;juillet;août;Variétés compactes, à feuilles, ou cardes
Blette;PC;5;Récolte;39;44;septembre;octobre;Variétés compactes, à feuilles, ou cardes
Blette;SA;1;Récolte;1;15;janvier;avril;Variétés à cardes
Blette;SA;1;Semis en pot/plant;32;34;août;août;Variétés à cardes
Blette;SA;1;Travail du sol;34;34;août;août;Ameublir, décompacter et affiner la planche avant plantation.
